id,name,position,team_id,team_name,games,games_sub,games_started,mins_played,goals,own_goals,headed_goals,kicked_goals,game_winning_goals,pk_goals,assists,game_winning_assist,shots,shots_on_goal,crosses,passes,touches,interceptions,blocks,tackles,clears,goal_mouth_blocks,fouls_committed,fouls_suffered,yellow_cards,red_cards,Tm,Tm_id,uniform_name,height,weight,dob,nationality
898356,Lucas Algozino,M,24114,Union Santa Fe,1,1,0,12,0,0,0,0,0,0,0,0,0,0,2,1,9,1,1,0,0,0,0,0,0,0,,8210,24,172.0,69.0,1995-09-29,Argentina
863227,Rodrigo Aliendro,M,19944,Atletico Tucuman,20,0,20,1587,1,0,0,1,0,0,0,0,24,9,9,557,1886,45,38,66,103,0,23,25,7,1,Atletico Tucuman,19944,29,177.0,68.0,1991-02-16,Argentina
688887,Christian Almeida,D,24786,Defensa y Justicia,13,1,12,1114,1,0,0,1,0,0,1,0,10,4,32,393,1098,23,20,37,114,0,15,18,2,0,Defensa y Justicia,24786,13,170.0,65.0,1989-12-25,Uruguay
1105463,Agustin Almendra,M,7251,Boca Juniors,3,2,1,98,0,0,0,0,0,0,0,0,1,0,0,34,115,2,5,4,9,0,1,2,1,0,Boca Juniors,7251,39,182.0,75.0,2000-02-11,Argentina
372982,Pablo Alvarado,D,24786,Defensa y Justicia,6,0,6,469,0,0,0,0,0,0,0,0,2,1,0,203,648,12,8,6,49,0,5,2,1,0,Defensa y Justicia,24786,,180.0,70.0,1986-02-27,Argentina
879789,Fabricio Alvarenga,M,7244,Velez Sarsfield,4,3,1,146,0,0,0,0,0,0,0,0,2,1,8,49,212,2,1,7,8,0,2,1,0,0,Velez Sarsfield,7244,15,178.0,76.0,1996-02-17,Argentina
747254,Favio Alvarez,M,19944,Atletico Tucuman,20,6,14,1315,1,0,0,1,1,0,3,0,23,10,12,579,2168,11,21,19,32,0,21,16,2,0,Atletico Tucuman,19944,11,184.0,70.0,1993-01-23,Argentina
1103425,Francisco Alvarez,D,8210,San Martin de San Juan,1,0,1,90,0,0,0,0,0,0,0,0,0,0,0,36,100,0,1,1,15,0,0,0,0,0,San Martin de San Juan,8210,28,180.0,,2000-02-26,Argentina
1073439,Juan Alvarez,M,7247,Banfield,24,10,14,1333,1,0,0,1,0,0,0,0,24,4,59,344,1802,24,38,25,41,0,12,14,0,0,Banfield,7247,22,175.0,71.0,1996-02-10,
371692,Pablo Alvarez,D,7363,Huracan,10,0,10,846,1,0,0,1,1,0,1,0,5,2,40,237,807,15,18,26,81,0,12,6,2,0,Huracan,7363,3,178.0,80.0,1984-04-17,Argentina
749669,Luis Amarilla,M,7244,Velez Sarsfield,6,4,2,255,1,0,0,1,1,1,1,0,8,2,2,84,279,5,2,2,8,0,3,1,1,0,Velez Sarsfield,7244,20,182.0,75.0,1995-08-25,Paraguay
860205,Emiliano Amor,D,7244,Velez Sarsfield,8,2,6,605,0,0,0,0,0,0,0,0,5,2,2,251,793,18,15,12,75,0,6,2,3,0,Aldosivi,24783,32,183.0,79.0,1995-05-16,Argentina
348784,Fernando Amorebieta,D,7249,Independiente,11,1,10,826,0,0,0,0,0,0,0,0,1,0,3,325,1068,26,20,14,153,0,17,12,7,0,Independiente,7249,14,192.0,86.0,1985-03-29,Venezuela
697161,Joel Amoroso,M,,,17,5,12,1083,1,0,0,1,1,0,0,0,11,7,27,208,992,13,14,16,29,0,13,13,1,0,Newell's Old Boys,7239,15,175.0,70.0,1988-01-08,Argentina
901479,Nicolas Andereggen,F,24114,Union Santa Fe,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,Union Santa Fe,24114,12,178.0,74.0,1999-09-22,Argentina
727135,Federico Andrada,F,7244,Velez Sarsfield,10,1,9,709,1,0,1,0,0,0,1,1,16,6,7,140,622,4,4,8,12,0,19,19,1,0,Union Santa Fe,24114,9,180.0,76.0,1994-03-03,Argentina
909732,Juan Andrada,M,7254,Godoy Cruz,19,3,16,1464,0,0,0,0,0,0,0,0,10,2,5,472,1682,44,37,53,100,0,36,28,2,0,Godoy Cruz,7254,30,183.0,77.0,1995-01-04,Argentina
891139,Tomas Andrade,M,7250,River Plate,4,4,0,80,0,0,0,0,0,0,0,0,1,0,5,41,217,0,1,1,1,0,3,4,0,0,,7254,35,174.0,67.0,1996-11-16,Argentina
692789,Walter Andrade,D,24791,Patronato,17,2,15,1305,0,0,0,0,0,0,1,0,9,4,1,258,915,24,33,35,227,0,19,10,4,2,Patronato,24791,2,184.0,86.0,1984-12-01,Argentina
373591,Marcos Angeleri,D,7245,San Lorenzo,11,2,9,845,0,0,0,0,0,0,1,1,2,0,28,280,784,18,23,23,81,0,6,4,2,0,San Lorenzo,7245,2,183.0,68.0,1983-04-07,Argentina
725242,Fabricio Angileri,M,7254,Godoy Cruz,23,0,23,2015,0,0,0,0,0,0,5,2,16,3,95,634,2389,29,77,40,214,0,18,7,8,1,Godoy Cruz,7254,21,184.0,84.0,1994-03-15,Argentina
749656,Julio Angulo,F,7363,Huracan,2,2,0,5,0,0,0,0,0,0,0,0,0,0,2,3,18,0,0,0,0,0,0,0,0,0,Huracan,7363,30,180.0,78.0,1990-05-28,Ecuador
851015,Federico Anselmo,F,7236,Argentinos Jrs.,3,3,0,81,0,0,0,0,0,0,0,0,3,1,0,4,30,0,0,1,1,0,0,0,0,0,Union Santa Fe,24114,,186.0,82.0,1994-04-17,Argentina
1114704,Francisco Apaolaza,F,7237,Estudiantes de La Plata,3,2,1,119,0,0,0,0,0,0,1,0,2,2,3,27,109,0,1,1,2,0,4,3,1,0,Estudiantes de La Plata,7237,19,,,1997-06-19,Argentina
694208,Claudio Aquino,M,24114,Union Santa Fe,7,2,5,305,0,0,0,0,0,0,1,0,8,0,25,114,430,3,10,5,5,0,4,3,1,0,Union Santa Fe,24114,10,172.0,67.0,1991-07-24,Argentina
908572,Aldo Araujo,M,26569,Talleres,16,10,6,686,2,0,1,1,1,0,3,1,17,7,10,142,651,10,10,9,12,0,9,22,0,0,Talleres,26569,11,165.0,68.0,1992-01-03,Argentina
373829,Carlos Araujo,D,7363,Huracan,15,1,14,1279,1,0,0,1,0,0,1,0,6,2,43,365,1191,34,55,37,132,0,20,12,2,0,Huracan,7363,4,172.0,69.0,1981-11-19,Argentina
823671,Rodrigo Arciero,D,24791,Patronato,13,1,12,1097,0,0,0,0,0,0,0,0,3,0,33,284,937,23,36,37,115,0,25,7,5,1,Banfield,7247,4,177.0,70.0,1993-03-12,Argentina
389856,Egidio Arevalo Rios,M,7242,Racing Club,7,1,6,543,0,0,0,0,0,0,0,0,2,0,0,256,694,16,17,17,63,0,7,9,2,0,,7244,5,168.0,68.0,1982-01-01,Uruguay
946512,Junior Arias,F,26569,Talleres,23,13,10,1064,6,0,0,6,3,0,2,0,26,14,5,191,695,4,14,10,18,0,16,11,5,0,Talleres,26569,9,179.0,79.0,1993-05-17,
839589,Adrian Arregui,M,27983,Temperley,20,3,17,1545,3,0,2,1,1,1,1,0,19,4,13,618,2220,58,28,56,150,1,39,21,9,0,San Martin de Tucuman,9936,13,175.0,74.0,1992-08-12,Argentina
822385,Mauricio Asenjo,F,7247,Banfield,5,5,0,32,0,0,0,0,0,0,0,0,1,1,0,5,52,0,0,2,3,0,2,3,0,0,,24791,,187.0,87.0,1994-07-23,Argentina
977288,Gonzalo Asis,D,7249,Independiente,3,0,3,245,0,0,0,0,0,0,0,0,2,1,3,80,245,4,8,9,20,0,4,6,0,0,Independiente,7249,15,174.0,64.0,1996-03-28,
968462,Tomas Attis,F,7255,Belgrano,2,2,0,43,0,0,0,0,0,0,0,0,0,0,1,12,54,0,1,0,0,0,3,0,1,0,Belgrano,7255,28,180.0,78.0,1999-10-02,Argentina
534461,Carlos Auzqui,M,7250,River Plate,14,5,9,713,1,1,0,1,0,0,2,1,8,3,24,166,624,3,4,13,17,0,8,13,0,0,Huracan,7363,11,180.0,74.0,1991-03-16,Argentina
568529,Cristian Baez,D,7254,Godoy Cruz,14,5,9,874,0,0,0,0,0,0,0,0,1,0,16,260,763,16,14,12,110,0,10,5,2,0,Godoy Cruz,7254,33,180.0,77.0,1990-04-09,Paraguay
528096,Luciano Balbi,D,24114,Union Santa Fe,9,3,6,685,0,0,0,0,0,0,1,1,4,1,44,221,599,11,21,22,66,0,4,0,2,0,Union Santa Fe,24114,3,172.0,72.0,1989-04-04,Argentina
789659,Adrian Balboa,F,24791,Patronato,24,2,22,1621,5,1,1,4,3,0,3,2,39,14,20,201,1274,7,11,12,27,0,30,27,5,0,Belgrano,7255,11,185.0,81.0,1994-01-19,Uruguay
529591,Matias Ballini,M,19944,Atletico Tucuman,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,1,0,1,1,0,0,Atletico Tucuman,19944,26,173.0,75.0,1988-12-19,Argentina
863566,Neri Bandiera,F,7255,Belgrano,4,3,1,94,0,0,0,0,0,0,0,0,0,0,2,8,61,1,0,0,1,0,1,4,0,0,Belgrano,7255,7,172.0,65.0,1989-07-03,Argentina
916015,Felix Banega,M,8210,San Martin de San Juan,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,2,2,0,1,0,1,0,Rosario Central,7243,,170.0,62.0,1996-10-19,Argentina
840115,Mariano Barbieri,F,7255,Belgrano,8,4,4,350,0,0,0,0,0,0,0,0,4,0,8,69,373,7,6,10,13,0,4,10,1,0,Belgrano,7255,23,179.0,76.0,1990-11-29,Argentina
911260,Miguel Barbieri,D,7242,Racing Club,17,1,16,1451,0,1,0,0,0,0,0,0,15,4,4,587,1831,32,33,39,201,0,29,7,5,0,Rosario Central,7243,19,181.0,79.0,1993-08-24,Argentina
737600,David Barbona,M,19944,Atletico Tucuman,23,3,20,1711,1,0,0,1,0,0,5,1,36,12,128,569,2327,22,35,18,28,0,14,12,2,0,Atletico Tucuman,19944,19,184.0,81.0,1995-02-22,Argentina
880573,Alexander Barboza,D,,,14,1,13,1140,0,0,0,0,0,0,0,0,14,4,1,442,1592,38,23,30,187,0,14,12,4,1,Defensa y Justicia,24786,6,193.0,70.0,1995-03-16,Argentina
909144,Facundo Barboza,M,7236,Argentinos Jrs.,7,6,1,230,0,0,0,0,0,0,1,1,1,0,3,110,431,4,3,4,8,0,4,1,0,0,Argentinos Jrs.,7236,5,170.0,69.0,1996-07-31,
955613,Facundo Barcelo,F,8210,San Martin de San Juan,24,8,16,1560,5,0,1,4,4,1,3,0,29,12,16,213,1069,5,11,7,26,0,25,49,1,0,Patronato,24791,31,180.0,70.0,1993-03-31,Uruguay
946412,Ezequiel Barco,M,7249,Independiente,8,3,5,450,1,0,0,1,1,0,2,1,9,5,40,186,837,2,10,4,5,0,3,19,2,0,,24791,27,165.0,67.0,1999-03-29,Argentina
872602,Mariano Bareiro,M,24786,Defensa y Justicia,11,1,10,902,2,0,1,1,1,0,0,0,5,3,2,363,1044,26,21,19,85,0,14,4,3,0,Defensa y Justicia,24786,5,172.0,70.0,1995-03-08,Argentina
375273,Jeronimo Barrales,F,7241,Gimnasia LP,8,8,0,153,0,0,0,0,0,0,0,0,5,1,0,33,142,1,3,1,1,0,9,7,1,0,Gimnasia LP,7241,9,186.0,84.0,1987-01-28,Argentina
1092052,Sergio Barreto,D,7249,Independiente,1,0,1,90,0,0,0,0,0,0,0,0,0,0,0,19,63,1,2,2,19,0,0,0,0,0,Independiente,7249,34,184.0,78.0,1999-04-20,Argentina
596804,Fernando Barrientos,M,7238,Lanus,11,4,7,627,1,0,0,1,0,0,0,0,11,5,29,339,1097,13,7,14,21,0,5,9,0,1,Lanus,7238,8,174.0,70.0,1991-11-17,Argentina
373802,Lucas Barrios,F,7236,Argentinos Jrs.,12,1,11,923,4,0,2,2,2,2,1,1,21,10,3,221,846,4,4,7,19,0,7,15,2,0,Argentinos Jrs.,7236,88,189.0,87.0,1984-11-13,Paraguay
974824,Nahuel Barrios,M,7245,San Lorenzo,16,6,10,908,2,0,0,2,1,0,0,0,18,8,15,334,1688,10,12,14,25,0,14,22,1,0,San Lorenzo,7245,28,156.0,,1998-05-07,Argentina
722013,Wilmar Barrios,M,7251,Boca Juniors,23,0,23,1991,1,0,0,1,1,0,0,0,4,2,2,1026,2881,72,63,87,192,0,34,44,6,0,Boca Juniors,7251,16,178.0,74.0,1993-10-16,Colombia
369231,Adrian Bastia,M,7240,Colon,14,8,6,695,0,0,0,0,0,0,1,1,8,0,3,239,766,26,20,39,74,0,15,11,2,0,Colon,7240,14,178.0,74.0,1978-12-20,Argentina
909143,Damian Batallini,M,7236,Argentinos Jrs.,23,6,17,1562,4,0,1,3,0,0,5,1,32,12,60,478,2016,21,26,38,44,0,28,32,4,0,Argentinos Jrs.,7236,11,175.0,77.0,1996-06-24,
1093608,Nazareno Bazan,F,7244,Velez Sarsfield,2,2,0,24,0,0,0,0,0,0,0,0,1,0,0,2,26,0,0,0,0,0,1,2,0,0,Velez Sarsfield,7244,21,184.0,74.0,1999-03-08,Argentina
974911,Nicolas Bazzana,D,7237,Estudiantes de La Plata,2,0,2,152,1,0,0,1,0,0,0,0,1,1,0,54,160,6,1,6,20,0,1,1,0,0,Estudiantes de La Plata,7237,2,183.0,81.0,1996-02-23,Argentina
1050359,Diego Becker,M,7243,Rosario Central,2,1,1,102,0,0,0,0,0,0,0,0,1,0,1,18,107,0,5,1,3,0,0,1,0,0,Rosario Central,7243,22,,,1997-11-24,
701843,Pablo Becker,F,7243,Rosario Central,3,3,0,25,0,0,0,0,0,0,0,0,1,0,1,19,86,1,0,2,2,0,2,0,0,0,Rosario Central,7243,23,176.0,64.0,1993-04-29,Argentina
454633,Ivan Bella,M,7248,Arsenal,3,3,0,62,0,0,0,0,0,0,0,0,0,0,1,27,124,2,3,1,4,0,2,3,2,0,,7243,10,179.0,78.0,1989-09-13,Argentina
373948,Fernando Belluschi,M,7245,San Lorenzo,15,1,14,1235,2,0,0,2,0,0,6,2,31,8,104,484,1629,21,11,24,36,0,15,25,1,0,San Lorenzo,7245,16,173.0,68.0,1983-09-10,Argentina
1050682,Tomas Belmonte,M,7238,Lanus,15,4,11,1010,0,0,0,0,0,0,0,0,15,4,12,369,1216,21,23,16,48,0,25,31,3,0,Lanus,7238,13,178.0,68.0,1998-05-27,Argentina
527793,Dario Benedetto,F,7251,Boca Juniors,9,0,9,760,8,0,0,8,3,2,3,2,26,15,3,144,523,2,6,4,10,0,10,14,3,0,Boca Juniors,7251,9,175.0,75.0,1990-05-17,Argentina
909146,Guillermo Benitez,D,7236,Argentinos Jrs.,6,0,6,524,0,0,0,0,0,0,0,0,3,1,14,220,577,13,10,18,48,0,7,5,1,0,Argentinos Jrs.,7236,3,170.0,69.0,1993-12-08,
692756,Marcelo Benitez,D,7255,Belgrano,21,0,21,1887,1,0,0,1,0,0,2,0,26,6,117,697,2001,44,37,61,220,0,19,12,2,0,Belgrano,7255,3,183.0,81.0,1991-01-13,Argentina
635154,Martin Benitez,F,7249,Independiente,20,6,14,1266,6,0,0,6,3,0,2,1,37,11,23,421,2083,14,16,28,41,0,10,35,0,0,Independiente,7249,7,173.0,72.0,1994-06-17,Argentina
592247,Oscar Benitez,F,7251,Boca Juniors,14,12,2,265,1,0,1,0,0,0,0,0,4,2,2,64,418,2,7,8,13,0,5,7,2,0,Argentinos Jrs.,7236,9,185.0,80.0,1993-01-14,Argentina
375052,Gonzalo Bergessio,F,7244,Velez Sarsfield,4,3,1,139,2,0,0,2,0,0,0,0,4,2,1,31,117,1,1,1,4,0,0,0,0,0,,7236,9,179.0,74.0,1984-07-20,Argentina
375598,Hernan Bernardello,M,7239,Newell's Old Boys,11,2,9,841,0,0,0,0,0,0,0,0,8,1,6,479,1334,12,15,33,57,0,19,16,6,0,Newell's Old Boys,7239,5,175.0,75.0,1986-08-03,Argentina
695680,Christian Bernardi,M,7240,Colon,21,6,15,1276,3,0,0,3,0,0,0,0,10,8,54,376,1600,21,22,17,37,0,9,31,1,0,Colon,7240,23,177.0,73.0,1990-03-10,Argentina
897007,German Berterame,F,7245,San Lorenzo,4,4,0,69,0,0,0,0,0,0,0,0,1,0,3,24,92,1,3,1,2,0,2,2,1,0,San Lorenzo,7245,23,178.0,65.0,1998-11-13,Argentina
542985,Nicolas Bertocchi,M,8211,Tigre,2,1,1,107,0,0,0,0,0,0,0,0,2,0,0,45,131,3,6,2,4,0,2,0,0,0,Tigre,8211,33,189.0,89.0,1989-06-09,Argentina
375561,Nicolas Bertolo,M,7247,Banfield,15,0,15,1262,0,0,0,0,0,0,1,1,13,5,18,284,1513,12,20,37,49,0,20,57,2,0,Banfield,7247,8,179.0,75.0,1986-01-02,Argentina
636719,Gonzalo Bettini,D,7247,Banfield,18,0,18,1584,2,0,1,1,1,0,1,1,11,4,77,574,1753,35,38,47,136,0,18,9,3,0,Rosario Central,7243,4,171.0,74.0,1992-09-26,Argentina
375567,Bruno Bianchi,D,7239,Newell's Old Boys,19,0,19,1637,1,0,1,0,0,0,0,0,14,6,1,502,1674,44,44,55,324,0,28,15,8,0,Atletico Tucuman,19944,2,183.0,76.0,1989-02-17,Argentina
893225,Domingo Blanco,M,7249,Independiente,5,2,3,188,0,0,0,0,0,0,0,0,3,1,5,23,158,0,6,4,6,0,2,6,0,0,Defensa y Justicia,24786,8,167.0,63.0,1995-04-22,Argentina
374518,Ismael Blanco,F,19944,Atletico Tucuman,17,9,8,801,2,0,0,2,0,0,0,0,15,7,3,105,390,4,14,6,14,0,5,3,0,0,Atletico Tucuman,19944,18,179.0,78.0,1983-01-19,Argentina
455844,Jonathan Blanco,M,7364,Olimpo,10,2,8,735,0,0,0,0,0,0,3,1,9,4,3,250,901,17,21,38,71,0,18,8,2,0,,19944,18,184.0,81.0,1987-04-29,Argentina
560387,Nicolas Blandi,F,7245,San Lorenzo,22,0,22,1946,9,0,2,7,6,1,4,1,48,26,21,309,1213,8,15,12,45,0,29,51,1,0,San Lorenzo,7245,9,181.0,78.0,1990-01-13,Argentina
901480,Brian Blasi,D,24114,Union Santa Fe,8,4,4,500,0,0,0,0,0,0,2,1,1,0,15,163,538,14,7,7,52,0,8,2,0,0,Union Santa Fe,24114,17,,,1996-02-08,Argentina
398941,Juan Carlos Blengio,D,8211,Tigre,3,0,3,270,1,0,0,1,0,0,0,0,2,1,0,47,182,4,6,3,37,0,3,2,2,0,Tigre,8211,3,185.0,85.0,1980-06-26,Argentina
880610,Emiliano Bogado,M,7244,Velez Sarsfield,2,1,1,85,0,0,0,0,0,0,0,0,0,0,6,21,97,1,1,1,1,0,0,0,0,0,Velez Sarsfield,7244,31,,,1997-11-19,Argentina
375478,Mauro Bogado,M,7363,Huracan,21,4,17,1344,3,0,0,3,1,2,1,1,29,8,103,452,1597,23,25,29,52,0,24,41,5,0,Huracan,7363,8,170.0,68.0,1985-05-31,Argentina
839908,Gaston Bojanich,D,,,24,0,24,2160,1,0,1,0,0,0,0,0,8,4,6,465,1713,64,47,37,306,0,29,17,4,0,Argentinos Jrs.,7236,23,191.0,85.0,1985-04-23,Argentina
1097975,Ivan Bolano,M,8211,Tigre,8,6,2,274,0,0,0,0,0,0,0,0,5,1,18,98,551,7,2,10,11,0,4,5,0,0,Tigre,8211,30,,,0,
1073539,Agustin Bolivar,M,7241,Gimnasia LP,15,6,9,772,0,0,0,0,0,0,0,0,7,2,5,260,816,20,10,27,55,0,16,5,4,0,Gimnasia LP,7241,14,173.0,73.0,1996-01-09,
840161,Ezequiel Bonifacio,D,7241,Gimnasia LP,24,6,18,1657,3,0,0,3,1,0,0,0,11,3,58,557,2029,42,34,36,118,0,26,19,7,0,Gimnasia LP,7241,6,169.0,70.0,1994-05-09,Argentina
513517,Fabian Bordagaray,F,24786,Defensa y Justicia,22,11,11,1098,4,0,0,4,1,0,1,1,23,8,7,205,735,8,12,17,20,0,8,10,1,0,Defensa y Justicia,24786,9,178.0,75.0,1987-02-15,Argentina
949694,Marco Borgnino,F,7237,Estudiantes de La Plata,8,5,3,241,0,0,0,0,0,0,0,0,6,2,14,79,338,11,4,0,3,0,5,4,2,0,Estudiantes de La Plata,7237,29,176.0,70.0,1997-10-25,Argentina
798691,Santos Borre,F,7250,River Plate,23,13,10,997,6,0,1,5,4,0,2,0,36,21,8,201,912,3,9,7,19,0,19,8,2,0,River Plate,7250,19,174.0,70.0,1995-09-15,Colombia
494975,Ruben Botta,M,7245,San Lorenzo,21,12,9,936,3,0,0,3,2,0,0,0,20,8,36,316,1566,9,17,29,33,0,16,26,2,0,San Lorenzo,7245,19,175.0,65.0,1990-01-31,Argentina
371269,Jonathan Bottinelli,D,24114,Union Santa Fe,26,0,26,2340,2,0,2,0,1,0,0,0,9,3,4,873,2393,54,41,41,296,0,31,8,6,0,Union Santa Fe,24114,33,180.0,82.0,1984-09-14,Argentina
843605,Walter Bou,F,7251,Boca Juniors,16,10,6,569,3,0,0,3,0,0,1,1,10,8,2,108,423,2,4,5,13,0,8,7,0,0,Boca Juniors,7251,19,174.0,74.0,1993-08-25,Argentina
907670,Agustin Bouzat,F,,,18,4,14,1249,2,0,0,2,0,0,1,0,18,6,47,258,1397,15,17,31,47,0,17,27,3,0,Velez Sarsfield,7244,10,180.0,75.0,1994-03-28,Argentina
957210,Walter Bracamonte,M,24114,Union Santa Fe,9,9,0,126,0,0,0,0,0,0,0,0,5,1,8,45,210,3,2,5,8,0,1,8,0,0,Union Santa Fe,24114,15,175.0,70.0,1997-07-22,Argentina
387614,Diego Braghieri,D,7238,Lanus,4,0,4,341,0,0,0,0,0,0,0,0,2,0,0,203,631,13,8,7,43,0,6,2,1,1,,24114,6,184.0,79.0,1987-02-23,Argentina
372967,Rodrigo Brana,M,7237,Estudiantes de La Plata,14,1,13,1225,0,0,0,0,0,0,0,0,3,1,9,630,1885,41,26,46,106,0,20,39,6,0,Estudiantes de La Plata,7237,22,177.0,71.0,1979-03-07,Argentina
839591,Fernando Brandan,M,27983,Temperley,12,4,8,834,3,0,1,2,0,1,0,0,17,6,30,150,918,9,23,13,20,0,17,15,2,0,San Martin de San Juan,8210,22,165.0,66.0,1990-03-27,Argentina
914543,Claudio Bravo,D,7247,Banfield,9,2,7,589,0,0,0,0,0,0,0,0,2,1,24,227,809,17,19,27,74,0,11,3,1,0,Banfield,7247,3,170.0,72.0,1997-03-13,Argentina
839556,Nestor Breitenbruch,D,7249,Independiente,2,1,1,141,0,0,0,0,0,0,0,0,0,0,0,29,115,0,3,1,24,0,4,0,0,0,,24791,,178.0,76.0,1995-09-13,Argentina
